service_id,date,exception_type
montague_wkd,20141103,1
montague_wkd,20141104,1
montague_wkd,20141105,1
montague_wkd,20141106,1
montague_wkd,20141107,1
montague_wkd,20141110,1
montague_wkd,20141111,1
montague_wkd,20141112,1
montague_wkd,20141113,1
montague_wkd,20141114,1
montague_wkd,20141117,1
montague_wkd,20141118,1
montague_wkd,20141119,1
montague_wkd,20141120,1
montague_wkd,20141121,1
montague_wkd,20141124,1
montague_wkd,20141125,1
montague_wkd,20141126,1
montague_wkd,20141127,1
montague_wkd,20141128,1
montague_wkd,20141201,1
montague_wkd,20141202,1
montague_wkd,20141203,1
montague_wkd,20141204,1
montague_wkd,20141205,1
montague_wkd,20141208,1
montague_wkd,20141209,1
montague_wkd,20141210,1
montague_wkd,20141211,1
montague_wkd,20141212,1
montague_wkd,20141215,1
montague_wkd,20141216,1
montague_wkd,20141217,1
montague_wkd,20141218,1
montague_wkd,20141219,1
montague_wkd,20141222,1
montague_wkd,20141223,1
montague_wkd,20141224,1
montague_wkd,20141225,1
montague_wkd,20141226,1
montague_wkd,20141229,1
montague_wkd,20141230,1
montague_wkd,20141231,1
montague_wkd,20150101,1
montague_wkd,20150102,1
montague_wkd,20150105,1
montague_wkd,20150106,1
montague_wkd,20150107,1
montague_wkd,20150108,1
montague_wkd,20150109,1
montague_wkd,20150112,1
montague_wkd,20150113,1
montague_wkd,20150114,1
montague_wkd,20150115,1
montague_wkd,20150116,1
montague_wkd,20150119,1
montague_wkd,20150120,1
montague_wkd,20150121,1
montague_wkd,20150122,1
montague_wkd,20150123,1
montague_wkd,20150126,1
montague_wkd,20150127,1
montague_wkd,20150128,1
montague_wkd,20150129,1
montague_wkd,20150130,1
montague_wkd,20150202,1
montague_wkd,20150203,1
montague_wkd,20150204,1
montague_wkd,20150205,1
montague_wkd,20150206,1
montague_wkd,20150209,1
montague_wkd,20150210,1
montague_wkd,20150211,1
montague_wkd,20150212,1
montague_wkd,20150213,1
montague_wkd,20150216,1
montague_wkd,20150217,1
montague_wkd,20150218,1
montague_wkd,20150219,1
montague_wkd,20150220,1
montague_wkd,20150223,1
montague_wkd,20150224,1
montague_wkd,20150225,1
montague_wkd,20150226,1
montague_wkd,20150227,1
montague_wkd,20150302,1
montague_wkd,20150303,1
montague_wkd,20150304,1
montague_wkd,20150305,1
montague_wkd,20150306,1
montague_wkd,20150309,1
montague_wkd,20150310,1
montague_wkd,20150311,1
montague_wkd,20150312,1
montague_wkd,20150313,1
montague_wkd,20150316,1
montague_wkd,20150317,1
montague_wkd,20150318,1
montague_wkd,20150319,1
montague_wkd,20150320,1
montague_wkd,20150323,1
montague_wkd,20150324,1
montague_wkd,20150325,1
montague_wkd,20150326,1
montague_wkd,20150327,1
montague_wkd,20150330,1
montague_wkd,20150331,1
montague_wkd,20150401,1
montague_wkd,20150402,1
montague_wkd,20150403,1
montague_wkd,20150406,1
montague_wkd,20150407,1
montague_wkd,20150408,1
montague_wkd,20150409,1
montague_wkd,20150410,1
montague_wkd,20150413,1
montague_wkd,20150414,1
montague_wkd,20150415,1
montague_wkd,20150416,1
montague_wkd,20150417,1
montague_wkd,20150420,1
montague_wkd,20150421,1
montague_wkd,20150422,1
montague_wkd,20150423,1
montague_wkd,20150424,1
montague_wkd,20150427,1
montague_wkd,20150428,1
montague_wkd,20150429,1
montague_wkd,20150430,1
montague_wkd,20150501,1
montague_wkd,20150504,1
montague_wkd,20150505,1
montague_wkd,20150506,1
montague_wkd,20150507,1
montague_wkd,20150508,1
montague_wkd,20150511,1
montague_wkd,20150512,1
montague_wkd,20150513,1
montague_wkd,20150514,1
montague_wkd,20150515,1
montague_wkd,20150518,1
montague_wkd,20150519,1
montague_wkd,20150520,1
montague_wkd,20150521,1
montague_wkd,20150522,1
montague_wkd,20150525,1
montague_wkd,20150526,1
montague_wkd,20150527,1
montague_wkd,20150528,1
montague_wkd,20150529,1
montague_wkd,20150601,1
montague_wkd,20150602,1
montague_wkd,20150603,1
montague_wkd,20150604,1
montague_wkd,20150605,1
montague_wkd,20150608,1
montague_wkd,20150609,1
montague_wkd,20150610,1
montague_wkd,20150611,1
montague_wkd,20150612,1
montague_wkd,20150615,1
montague_wkd,20150616,1
montague_wkd,20150617,1
montague_wkd,20150618,1
montague_wkd,20150619,1
montague_wkd,20150622,1
montague_wkd,20150623,1
montague_wkd,20150624,1
montague_wkd,20150625,1
montague_wkd,20150626,1
montague_wkd,20150629,1
montague_wkd,20150630,1
montague_wkd,20150701,1
montague_wkd,20150702,1
montague_wkd,20150703,1
montague_wkd,20150706,1
montague_wkd,20150707,1
montague_wkd,20150708,1
montague_wkd,20150709,1
montague_wkd,20150710,1
montague_wkd,20150713,1
montague_wkd,20150714,1
montague_wkd,20150715,1
montague_wkd,20150716,1
montague_wkd,20150717,1
montague_wkd,20150720,1
montague_wkd,20150721,1
montague_wkd,20150722,1
montague_wkd,20150723,1
montague_wkd,20150724,1
montague_wkd,20150727,1
montague_wkd,20150728,1
montague_wkd,20150729,1
montague_wkd,20150730,1
montague_wkd,20150731,1
montague_wkd,20150803,1
montague_wkd,20150804,1
montague_wkd,20150805,1
montague_wkd,20150806,1
montague_wkd,20150807,1
montague_wkd,20150810,1
montague_wkd,20150811,1
montague_wkd,20150812,1
montague_wkd,20150813,1
montague_wkd,20150814,1
montague_wkd,20150817,1
montague_wkd,20150818,1
montague_wkd,20150819,1
montague_wkd,20150820,1
montague_wkd,20150821,1
montague_wkd,20150824,1
montague_wkd,20150825,1
montague_wkd,20150826,1
montague_wkd,20150827,1
montague_wkd,20150828,1
montague_wkd,20150831,1
montague_wkd,20150901,1
montague_wkd,20150902,1
montague_wkd,20150903,1
montague_wkd,20150904,1
montague_wkd,20150907,1
montague_wkd,20150908,1
montague_wkd,20150909,1
montague_wkd,20150910,1
montague_wkd,20150911,1
montague_wkd,20150914,1
montague_wkd,20150915,1
montague_wkd,20150916,1
montague_wkd,20150917,1
montague_wkd,20150918,1
montague_wkd,20150921,1
montague_wkd,20150922,1
montague_wkd,20150923,1
montague_wkd,20150924,1
montague_wkd,20150925,1
montague_wkd,20150928,1
montague_wkd,20150929,1
montague_wkd,20150930,1
montague_wkd,20151001,1
montague_wkd,20151002,1
montague_wkd,20151005,1
montague_wkd,20151006,1
montague_wkd,20151007,1
montague_wkd,20151008,1
montague_wkd,20151009,1
montague_wkd,20151012,1
montague_wkd,20151013,1
montague_wkd,20151014,1
